Type,Function,Digit,Time(ns)
randomdigit,ryu,1,39.360000
randomdigit,ryu,2,39.580000
randomdigit,ryu,3,38.920000
randomdigit,ryu,4,38.000000
randomdigit,ryu,5,37.040000
randomdigit,ryu,6,36.110000
randomdigit,ryu,7,35.350000
randomdigit,ryu,8,34.590000
randomdigit,ryu,9,33.380000
randomdigit,ryu,10,34.180000
randomdigit,ryu,11,32.310000
randomdigit,ryu,12,31.970000
randomdigit,ryu,13,30.390000
randomdigit,ryu,14,30.030000
randomdigit,ryu,15,28.480000
randomdigit,ryu,16,28.320000
randomdigit,ryu,17,27.440000
randomdigit,doubleconv,1,46.420000
randomdigit,doubleconv,2,61.060000
randomdigit,doubleconv,3,55.310000
randomdigit,doubleconv,4,57.570000
randomdigit,doubleconv,5,59.810000
randomdigit,doubleconv,6,61.590000
randomdigit,doubleconv,7,63.470000
randomdigit,doubleconv,8,64.200000
randomdigit,doubleconv,9,65.280000
randomdigit,doubleconv,10,66.320000
randomdigit,doubleconv,11,67.600000
randomdigit,doubleconv,12,69.130000
randomdigit,doubleconv,13,70.590000
randomdigit,doubleconv,14,72.070000
randomdigit,doubleconv,15,74.090000
randomdigit,doubleconv,16,76.760000
randomdigit,doubleconv,17,80.460000
randomdigit,fmt_comp,1,24.280000
randomdigit,fmt_comp,2,25.440000
randomdigit,fmt_comp,3,30.900000
randomdigit,fmt_comp,4,25.410000
randomdigit,fmt_comp,5,25.400000
randomdigit,fmt_comp,6,24.540000
randomdigit,fmt_comp,7,25.000000
randomdigit,fmt_comp,8,24.270000
randomdigit,fmt_comp,9,26.940000
randomdigit,fmt_comp,10,26.350000
randomdigit,fmt_comp,11,26.890000
randomdigit,fmt_comp,12,26.300000
randomdigit,fmt_comp,13,26.820000
randomdigit,fmt_comp,14,26.470000
randomdigit,fmt_comp,15,26.810000
randomdigit,fmt_comp,16,26.620000
randomdigit,fmt_comp,17,30.110000
randomdigit,fmt_full,1,21.790000
randomdigit,fmt_full,2,23.000000
randomdigit,fmt_full,3,28.340000
randomdigit,fmt_full,4,23.080000
randomdigit,fmt_full,5,22.420000
randomdigit,fmt_full,6,22.110000
randomdigit,fmt_full,7,21.960000
randomdigit,fmt_full,8,21.760000
