Type,Function,Digit,Time(ns)
randomdigit,double-conversion,1,59.780000
randomdigit,double-conversion,2,72.640000
randomdigit,double-conversion,3,76.420000
randomdigit,double-conversion,4,77.130000
randomdigit,double-conversion,5,80.040000
randomdigit,double-conversion,6,83.750000
randomdigit,double-conversion,7,85.610000
randomdigit,double-conversion,8,85.470000
randomdigit,double-conversion,9,84.580000
randomdigit,double-conversion,10,84.330000
randomdigit,double-conversion,11,83.740000
randomdigit,double-conversion,12,86.410000
randomdigit,double-conversion,13,88.030000
randomdigit,double-conversion,14,93.440000
randomdigit,double-conversion,15,93.290000
randomdigit,double-conversion,16,99.070000
randomdigit,double-conversion,17,103.260000
randomdigit,dragonbox,1,18.520000
randomdigit,dragonbox,2,19.760000
randomdigit,dragonbox,3,19.670000
randomdigit,dragonbox,4,20.420000
randomdigit,dragonbox,5,19.920000
randomdigit,dragonbox,6,20.790000
randomdigit,dragonbox,7,20.100000
randomdigit,dragonbox,8,20.910000
randomdigit,dragonbox,9,20.120000
randomdigit,dragonbox,10,20.750000
randomdigit,dragonbox,11,20.220000
randomdigit,dragonbox,12,21.120000
randomdigit,dragonbox,13,20.460000
randomdigit,dragonbox,14,21.450000
randomdigit,dragonbox,15,20.940000
randomdigit,dragonbox,16,21.600000
randomdigit,dragonbox,17,24.230000
randomdigit,ryu,1,46.080000
randomdigit,ryu,2,45.950000
randomdigit,ryu,3,45.640000
randomdigit,ryu,4,44.370000
randomdigit,ryu,5,42.740000
randomdigit,ryu,6,41.850000
randomdigit,ryu,7,38.130000
randomdigit,ryu,8,37.120000
randomdigit,ryu,9,35.480000
randomdigit,ryu,10,36.610000
randomdigit,ryu,11,33.480000
randomdigit,ryu,12,32.700000
randomdigit,ryu,13,31.320000
randomdigit,ryu,14,30.220000
randomdigit,ryu,15,29.290000
randomdigit,ryu,16,28.220000
randomdigit,ryu,17,28.100000
randomdigit,fmt,1,18.920000
randomdigit,fmt,2,22.800000
randomdigit,fmt,3,20.260000
randomdigit,fmt,4,21.410000
randomdigit,fmt,5,19.660000
randomdigit,fmt,6,21.190000
randomdigit,fmt,7,19.460000
randomdigit,fmt,8,21.810000
