Type,Function,Digit,Time(ns)
randomdigit,asteria,1,69.250410
randomdigit,asteria,2,67.946670
randomdigit,asteria,3,67.428750
randomdigit,asteria,4,68.296670
randomdigit,asteria,5,69.555420
randomdigit,asteria,6,70.195000
randomdigit,asteria,7,71.274170
randomdigit,asteria,8,64.522920
randomdigit,asteria,9,69.636660
randomdigit,asteria,10,70.545830
randomdigit,asteria,11,74.687920
randomdigit,asteria,12,76.738750
randomdigit,asteria,13,76.115840
randomdigit,asteria,14,80.697500
randomdigit,asteria,15,82.817500
randomdigit,asteria,16,84.244580
randomdigit,asteria,17,86.927920
randomdigit,double-conversion,1,60.360000
randomdigit,double-conversion,2,74.675420
randomdigit,double-conversion,3,78.111670
randomdigit,double-conversion,4,80.115420
randomdigit,double-conversion,5,82.345420
randomdigit,double-conversion,6,83.522500
randomdigit,double-conversion,7,85.800830
randomdigit,double-conversion,8,86.891670
randomdigit,double-conversion,9,86.057920
randomdigit,double-conversion,10,85.067090
randomdigit,double-conversion,11,84.693330
randomdigit,double-conversion,12,87.377910
randomdigit,double-conversion,13,88.782920
randomdigit,double-conversion,14,91.473330
randomdigit,double-conversion,15,94.576250
randomdigit,double-conversion,16,97.556670
randomdigit,double-conversion,17,103.884160
randomdigit,dragonbox,1,18.722920
randomdigit,dragonbox,2,20.464160
randomdigit,dragonbox,3,20.199170
randomdigit,dragonbox,4,20.351660
randomdigit,dragonbox,5,19.847080
randomdigit,dragonbox,6,20.816660
randomdigit,dragonbox,7,20.490000
randomdigit,dragonbox,8,21.324160
randomdigit,dragonbox,9,20.391250
randomdigit,dragonbox,10,21.347910
randomdigit,dragonbox,11,20.898330
randomdigit,dragonbox,12,21.532080
randomdigit,dragonbox,13,21.168330
randomdigit,dragonbox,14,22.162500
randomdigit,dragonbox,15,21.435000
randomdigit,dragonbox,16,22.228750
randomdigit,dragonbox,17,24.767920
randomdigit,fmt,1,19.627080
randomdigit,fmt,2,22.545420
randomdigit,fmt,3,20.721250
randomdigit,fmt,4,21.975000
randomdigit,fmt,5,20.181670
randomdigit,fmt,6,21.600420
randomdigit,fmt,7,20.036670
randomdigit,fmt,8,22.039170
randomdigit,fmt,9,23.210000
randomdigit,fmt,10,26.255000
randomdigit,fmt,11,22.779170
randomdigit,fmt,12,25.066250
randomdigit,fmt,13,22.742910
randomdigit,fmt,14,24.317920
randomdigit,fmt,15,22.408340
randomdigit,fmt,16,24.127910
randomdigit,fmt,17,28.584170
randomdigit,null,1,0.931250
randomdigit,null,2,0.930840
randomdigit,null,3,0.930000
randomdigit,null,4,0.930410
randomdigit,null,5,0.930410
randomdigit,null,6,0.930000
randomdigit,null,7,0.929590
randomdigit,null,8,0.930830
randomdigit,null,9,0.929590
randomdigit,null,10,0.929580
randomdigit,null,11,0.930410
randomdigit,null,12,0.930000
randomdigit,null,13,0.929580
randomdigit,null,14,0.931670
randomdigit,null,15,0.973750
randomdigit,null,16,0.930410
randomdigit,null,17,0.929580
randomdigit,ostringstream,1,811.142080
randomdigit,ostringstream,2,827.908340
randomdigit,ostringstream,3,858.485000
randomdigit,ostringstream,4,859.407090
randomdigit,ostringstream,5,902.061250
randomdigit,ostringstream,6,881.734170
randomdigit,ostringstream,7,886.152920
randomdigit,ostringstream,8,898.384580
randomdigit,ostringstream,9,904.845420
randomdigit,ostringstream,10,966.136660
randomdigit,ostringstream,11,927.495000
randomdigit,ostringstream,12,932.687920
randomdigit,ostringstream,13,944.626670
randomdigit,ostringstream,14,955.108340
randomdigit,ostringstream,15,960.327500
randomdigit,ostringstream,16,965.793750
randomdigit,ostringstream,17,962.216250
randomdigit,ryu,1,46.244170
randomdigit,ryu,2,47.152920
randomdigit,ryu,3,46.234170
randomdigit,ryu,4,44.975830
randomdigit,ryu,5,42.915410
randomdigit,ryu,6,42.825000
randomdigit,ryu,7,38.866250
randomdigit,ryu,8,39.352500
randomdigit,ryu,9,37.428330
randomdigit,ryu,10,38.151250
randomdigit,ryu,11,33.651250
randomdigit,ryu,12,32.694580
randomdigit,ryu,13,32.617090
randomdigit,ryu,14,30.653330
randomdigit,ryu,15,29.649580
randomdigit,ryu,16,29.111660
randomdigit,ryu,17,28.235840
