Type,Function,Digit,Time(ns)
randomdigit,double-conversion,1,59.415833
randomdigit,double-conversion,2,72.494500
randomdigit,double-conversion,3,76.320667
randomdigit,double-conversion,4,77.362542
randomdigit,double-conversion,5,79.895000
randomdigit,double-conversion,6,82.468459
randomdigit,double-conversion,7,84.526916
randomdigit,double-conversion,8,86.936084
randomdigit,double-conversion,9,84.923708
randomdigit,double-conversion,10,82.836000
randomdigit,double-conversion,11,83.470250
randomdigit,double-conversion,12,84.584625
randomdigit,double-conversion,13,86.499666
randomdigit,double-conversion,14,88.861208
randomdigit,double-conversion,15,91.820667
randomdigit,double-conversion,16,95.194917
randomdigit,double-conversion,17,101.179375
randomdigit,dragonbox,1,18.583500
randomdigit,dragonbox,2,19.799292
randomdigit,dragonbox,3,19.530875
randomdigit,dragonbox,4,20.368792
randomdigit,dragonbox,5,19.682584
randomdigit,dragonbox,6,20.554625
randomdigit,dragonbox,7,20.061000
randomdigit,dragonbox,8,20.637291
randomdigit,dragonbox,9,20.075708
randomdigit,dragonbox,10,20.617250
randomdigit,dragonbox,11,20.193917
randomdigit,dragonbox,12,21.101417
randomdigit,dragonbox,13,20.413000
randomdigit,dragonbox,14,22.066750
randomdigit,dragonbox,15,21.345042
randomdigit,dragonbox,16,22.079875
randomdigit,dragonbox,17,24.614917
randomdigit,fmt,1,19.452417
randomdigit,fmt,2,22.863834
randomdigit,fmt,3,20.768584
randomdigit,fmt,4,21.959041
randomdigit,fmt,5,20.410916
randomdigit,fmt,6,21.007500
randomdigit,fmt,7,19.416083
randomdigit,fmt,8,21.512333
randomdigit,fmt,9,22.744208
randomdigit,fmt,10,25.212625
randomdigit,fmt,11,23.142834
randomdigit,fmt,12,24.344125
randomdigit,fmt,13,22.165625
randomdigit,fmt,14,23.770500
randomdigit,fmt,15,21.688708
randomdigit,fmt,16,23.353542
randomdigit,fmt,17,27.481125
randomdigit,null,1,0.938750
randomdigit,null,2,0.929583
randomdigit,null,3,0.929583
randomdigit,null,4,0.930167
randomdigit,null,5,0.929625
randomdigit,null,6,0.929542
randomdigit,null,7,0.929542
randomdigit,null,8,0.930209
randomdigit,null,9,0.929583
randomdigit,null,10,0.929667
randomdigit,null,11,0.929584
randomdigit,null,12,0.931625
randomdigit,null,13,0.929667
randomdigit,null,14,0.929625
randomdigit,null,15,0.929583
randomdigit,null,16,0.929625
randomdigit,null,17,0.929583
randomdigit,ostringstream,1,790.761333
randomdigit,ostringstream,2,806.011333
randomdigit,ostringstream,3,819.296959
randomdigit,ostringstream,4,830.199834
randomdigit,ostringstream,5,841.836208
randomdigit,ostringstream,6,853.736375
randomdigit,ostringstream,7,864.638209
randomdigit,ostringstream,8,873.816000
randomdigit,ostringstream,9,887.428250
randomdigit,ostringstream,10,884.296792
randomdigit,ostringstream,11,891.682292
randomdigit,ostringstream,12,905.404000
randomdigit,ostringstream,13,917.680875
randomdigit,ostringstream,14,924.983958
randomdigit,ostringstream,15,927.393666
randomdigit,ostringstream,16,935.021500
randomdigit,ostringstream,17,930.259417
randomdigit,ryu,1,45.402292
randomdigit,ryu,2,46.117084
randomdigit,ryu,3,45.330250
randomdigit,ryu,4,44.195000
randomdigit,ryu,5,42.670000
randomdigit,ryu,6,41.707875
randomdigit,ryu,7,38.079583
randomdigit,ryu,8,36.802000
randomdigit,ryu,9,35.492208
randomdigit,ryu,10,36.399375
randomdigit,ryu,11,33.529542
randomdigit,ryu,12,32.575208
randomdigit,ryu,13,31.083375
randomdigit,ryu,14,29.924750
randomdigit,ryu,15,29.004959
randomdigit,ryu,16,27.995750
randomdigit,ryu,17,27.902167
randomdigit,schubfach,1,20.408584
randomdigit,schubfach,2,24.090791
randomdigit,schubfach,3,23.610916
randomdigit,schubfach,4,23.475666
randomdigit,schubfach,5,23.114042
randomdigit,schubfach,6,22.986875
randomdigit,schubfach,7,22.673791
randomdigit,schubfach,8,22.498292
randomdigit,schubfach,9,22.325625
randomdigit,schubfach,10,24.473959
randomdigit,schubfach,11,26.189625
randomdigit,schubfach,12,26.060916
randomdigit,schubfach,13,25.831708
randomdigit,schubfach,14,25.591583
randomdigit,schubfach,15,25.422833
randomdigit,schubfach,16,27.295458
randomdigit,schubfach,17,33.113500
randomdigit,sprintf,1,648.973791
randomdigit,sprintf,2,668.549375
randomdigit,sprintf,3,683.536334
randomdigit,sprintf,4,692.828625
randomdigit,sprintf,5,703.847750
randomdigit,sprintf,6,714.632542
randomdigit,sprintf,7,723.714291
randomdigit,sprintf,8,735.424333
randomdigit,sprintf,9,738.026208
randomdigit,sprintf,10,743.900875
randomdigit,sprintf,11,754.317541
randomdigit,sprintf,12,764.324625
randomdigit,sprintf,13,778.053334
randomdigit,sprintf,14,786.505500
randomdigit,sprintf,15,788.153208
randomdigit,sprintf,16,792.107042
randomdigit,sprintf,17,783.284167
randomdigit,to_chars,1,52.038958
randomdigit,to_chars,2,52.725333
randomdigit,to_chars,3,49.936292
randomdigit,to_chars,4,48.516042
randomdigit,to_chars,5,46.836125
randomdigit,to_chars,6,45.804458
randomdigit,to_chars,7,44.643917
randomdigit,to_chars,8,43.011375
randomdigit,to_chars,9,41.586167
randomdigit,to_chars,10,42.752875
randomdigit,to_chars,11,39.603625
randomdigit,to_chars,12,37.992792
randomdigit,to_chars,13,37.030709
randomdigit,to_chars,14,35.961417
randomdigit,to_chars,15,35.493042
randomdigit,to_chars,16,34.756000
randomdigit,to_chars,17,35.935042
randomdigit,xjb64,1,10.818542
randomdigit,xjb64,2,10.567541
randomdigit,xjb64,3,10.716208
randomdigit,xjb64,4,10.588584
randomdigit,xjb64,5,10.682750
randomdigit,xjb64,6,10.657208
randomdigit,xjb64,7,10.609083
randomdigit,xjb64,8,11.006042
randomdigit,xjb64,9,10.540167
randomdigit,xjb64,10,10.827584
randomdigit,xjb64,11,10.884958
randomdigit,xjb64,12,10.749334
randomdigit,xjb64,13,10.688458
randomdigit,xjb64,14,10.665959
randomdigit,xjb64,15,10.785458
randomdigit,xjb64,16,10.515750
randomdigit,xjb64,17,10.614083
randomdigit,yy,1,12.053791
randomdigit,yy,2,12.017584
randomdigit,yy,3,12.043000
randomdigit,yy,4,12.007042
randomdigit,yy,5,15.201250
randomdigit,yy,6,14.129375
randomdigit,yy,7,12.996500
randomdigit,yy,8,12.904541
randomdigit,yy,9,15.044667
randomdigit,yy,10,14.921750
randomdigit,yy,11,14.001916
randomdigit,yy,12,13.913833
randomdigit,yy,13,16.401750
randomdigit,yy,14,15.877125
