Type,Function,Digit,Time(ns)
randomdigit,double-conversion,1,58.952084
randomdigit,double-conversion,2,70.864292
randomdigit,double-conversion,3,75.349083
randomdigit,double-conversion,4,76.864875
randomdigit,double-conversion,5,79.874834
randomdigit,double-conversion,6,84.497958
randomdigit,double-conversion,7,84.234625
randomdigit,double-conversion,8,84.500125
randomdigit,double-conversion,9,83.747334
randomdigit,double-conversion,10,82.712458
randomdigit,double-conversion,11,82.323458
randomdigit,double-conversion,12,83.972375
randomdigit,double-conversion,13,86.111542
randomdigit,double-conversion,14,88.292125
randomdigit,double-conversion,15,91.351750
randomdigit,double-conversion,16,94.920834
randomdigit,double-conversion,17,100.784708
randomdigit,dragonbox,1,18.927875
randomdigit,dragonbox,2,19.757167
randomdigit,dragonbox,3,19.561500
randomdigit,dragonbox,4,20.704042
randomdigit,dragonbox,5,19.744958
randomdigit,dragonbox,6,20.584792
randomdigit,dragonbox,7,19.912083
randomdigit,dragonbox,8,20.746625
randomdigit,dragonbox,9,20.087708
randomdigit,dragonbox,10,20.558000
randomdigit,dragonbox,11,20.197625
randomdigit,dragonbox,12,21.086167
randomdigit,dragonbox,13,20.388500
randomdigit,dragonbox,14,21.333208
randomdigit,dragonbox,15,20.630875
randomdigit,dragonbox,16,21.403167
randomdigit,dragonbox,17,23.621166
randomdigit,fmt,1,18.768917
randomdigit,fmt,2,22.282041
randomdigit,fmt,3,20.268166
randomdigit,fmt,4,21.322875
randomdigit,fmt,5,19.568250
randomdigit,fmt,6,20.974417
randomdigit,fmt,7,19.666500
randomdigit,fmt,8,21.746458
randomdigit,fmt,9,22.837417
randomdigit,fmt,10,24.818542
randomdigit,fmt,11,22.743708
randomdigit,fmt,12,24.420666
randomdigit,fmt,13,22.024917
randomdigit,fmt,14,23.564750
randomdigit,fmt,15,21.649917
randomdigit,fmt,16,23.354500
randomdigit,fmt,17,27.411583
randomdigit,null,1,0.929375
randomdigit,null,2,0.929375
randomdigit,null,3,0.929500
randomdigit,null,4,0.929583
randomdigit,null,5,0.929500
randomdigit,null,6,0.929417
randomdigit,null,7,0.929417
randomdigit,null,8,0.929458
randomdigit,null,9,0.929459
randomdigit,null,10,0.929417
randomdigit,null,11,0.929459
randomdigit,null,12,0.929458
randomdigit,null,13,0.929458
randomdigit,null,14,0.929417
randomdigit,null,15,0.929458
randomdigit,null,16,0.929458
randomdigit,null,17,0.929458
randomdigit,ostringstream,1,785.343584
randomdigit,ostringstream,2,801.968875
randomdigit,ostringstream,3,815.525458
randomdigit,ostringstream,4,827.325333
randomdigit,ostringstream,5,837.394292
randomdigit,ostringstream,6,850.019292
randomdigit,ostringstream,7,858.901375
randomdigit,ostringstream,8,868.487417
randomdigit,ostringstream,9,872.687292
randomdigit,ostringstream,10,878.010334
randomdigit,ostringstream,11,886.917333
randomdigit,ostringstream,12,899.283375
randomdigit,ostringstream,13,911.767583
randomdigit,ostringstream,14,920.617042
randomdigit,ostringstream,15,924.875209
randomdigit,ostringstream,16,932.100375
randomdigit,ostringstream,17,926.895666
randomdigit,ryu,1,45.499084
randomdigit,ryu,2,46.057458
randomdigit,ryu,3,45.520000
randomdigit,ryu,4,44.531125
randomdigit,ryu,5,42.867375
randomdigit,ryu,6,41.971000
randomdigit,ryu,7,38.121750
