Type,Method,Digit,Time(ns)
randomdigit,double-conversion,1,59.557500
randomdigit,double-conversion,2,72.916333
randomdigit,double-conversion,3,75.404208
randomdigit,double-conversion,4,77.548625
randomdigit,double-conversion,5,81.076334
randomdigit,double-conversion,6,84.343916
randomdigit,double-conversion,7,85.915708
randomdigit,double-conversion,8,86.185250
randomdigit,double-conversion,9,86.644916
randomdigit,double-conversion,10,83.572750
randomdigit,double-conversion,11,83.503167
randomdigit,double-conversion,12,86.374666
randomdigit,double-conversion,13,88.763500
randomdigit,double-conversion,14,91.218500
randomdigit,double-conversion,15,94.172375
randomdigit,double-conversion,16,99.948000
randomdigit,double-conversion,17,102.671125
randomdigit,dragonbox,1,18.706333
randomdigit,dragonbox,2,19.653875
randomdigit,dragonbox,3,19.620291
randomdigit,dragonbox,4,20.929750
randomdigit,dragonbox,5,19.746041
randomdigit,dragonbox,6,20.967042
randomdigit,dragonbox,7,20.327959
randomdigit,dragonbox,8,21.284750
randomdigit,dragonbox,9,20.667166
randomdigit,dragonbox,10,21.284750
randomdigit,dragonbox,11,20.599625
randomdigit,dragonbox,12,21.522458
randomdigit,dragonbox,13,20.859583
randomdigit,dragonbox,14,21.946500
randomdigit,dragonbox,15,21.188167
randomdigit,dragonbox,16,21.992250
randomdigit,dragonbox,17,24.379875
randomdigit,fmt,1,18.926625
randomdigit,fmt,2,22.627750
randomdigit,fmt,3,20.272250
randomdigit,fmt,4,21.021875
randomdigit,fmt,5,19.787208
randomdigit,fmt,6,21.212709
randomdigit,fmt,7,19.127583
randomdigit,fmt,8,21.502541
randomdigit,fmt,9,22.680833
randomdigit,fmt,10,25.116500
randomdigit,fmt,11,22.628333
randomdigit,fmt,12,23.874042
randomdigit,fmt,13,21.592833
randomdigit,fmt,14,23.812708
randomdigit,fmt,15,21.322625
randomdigit,fmt,16,23.403000
randomdigit,fmt,17,27.313125
randomdigit,null,1,0.947458
randomdigit,null,2,0.939916
randomdigit,null,3,0.929667
randomdigit,null,4,0.929750
randomdigit,null,5,0.929875
randomdigit,null,6,0.944542
randomdigit,null,7,0.947458
randomdigit,null,8,0.948291
randomdigit,null,9,0.948042
randomdigit,null,10,0.948167
randomdigit,null,11,0.930542
randomdigit,null,12,0.929583
randomdigit,null,13,0.929500
randomdigit,null,14,0.929666
randomdigit,null,15,0.929625
randomdigit,null,16,0.930375
randomdigit,null,17,0.939583
randomdigit,ostringstream,1,800.582708
randomdigit,ostringstream,2,825.271583
randomdigit,ostringstream,3,827.531459
randomdigit,ostringstream,4,834.402542
randomdigit,ostringstream,5,841.363500
randomdigit,ostringstream,6,848.650041
randomdigit,ostringstream,7,854.223666
randomdigit,ostringstream,8,863.993375
randomdigit,ostringstream,9,867.992125
randomdigit,ostringstream,10,874.138417
randomdigit,ostringstream,11,883.295250
randomdigit,ostringstream,12,894.346167
randomdigit,ostringstream,13,909.904125
randomdigit,ostringstream,14,918.660292
randomdigit,ostringstream,15,921.972500
randomdigit,ostringstream,16,928.910959
randomdigit,ostringstream,17,927.309916
randomdigit,ryu,1,46.017125
randomdigit,ryu,2,46.007042
randomdigit,ryu,3,45.472708
