Type,Function,Digit,Time(ns)
randomdigit,double-conversion,1,57.623667
randomdigit,double-conversion,2,71.182333
randomdigit,double-conversion,3,74.618709
randomdigit,double-conversion,4,75.618750
randomdigit,double-conversion,5,79.298625
randomdigit,double-conversion,6,82.220042
randomdigit,double-conversion,7,83.249000
randomdigit,double-conversion,8,83.846625
randomdigit,double-conversion,9,83.922625
randomdigit,double-conversion,10,81.993292
randomdigit,double-conversion,11,81.354666
randomdigit,double-conversion,12,83.898583
randomdigit,double-conversion,13,87.291666
randomdigit,double-conversion,14,89.863500
randomdigit,double-conversion,15,92.458583
randomdigit,double-conversion,16,96.856875
randomdigit,double-conversion,17,101.097750
randomdigit,dragonbox,1,18.328417
randomdigit,dragonbox,2,19.564583
randomdigit,dragonbox,3,19.324917
randomdigit,dragonbox,4,20.121875
randomdigit,dragonbox,5,19.555208
randomdigit,dragonbox,6,20.365500
randomdigit,dragonbox,7,19.832334
randomdigit,dragonbox,8,20.534666
randomdigit,dragonbox,9,19.836333
randomdigit,dragonbox,10,20.477792
randomdigit,dragonbox,11,19.802791
randomdigit,dragonbox,12,20.765334
randomdigit,dragonbox,13,20.332333
randomdigit,dragonbox,14,21.159458
randomdigit,dragonbox,15,20.417459
randomdigit,dragonbox,16,21.262000
randomdigit,dragonbox,17,24.570417
randomdigit,fmt,1,18.691584
randomdigit,fmt,2,22.252750
randomdigit,fmt,3,19.959292
randomdigit,fmt,4,21.252166
randomdigit,fmt,5,19.550125
randomdigit,fmt,6,21.404958
randomdigit,fmt,7,19.415917
randomdigit,fmt,8,21.497042
randomdigit,fmt,9,22.567875
randomdigit,fmt,10,24.651875
randomdigit,fmt,11,21.960958
randomdigit,fmt,12,24.130458
randomdigit,fmt,13,21.484333
randomdigit,fmt,14,23.031125
randomdigit,fmt,15,20.996417
randomdigit,fmt,16,22.823916
randomdigit,fmt,17,26.773958
randomdigit,null,1,0.929542
randomdigit,null,2,0.929583
randomdigit,null,3,0.929500
randomdigit,null,4,0.931416
randomdigit,null,5,0.929417
randomdigit,null,6,0.929417
randomdigit,null,7,0.929417
randomdigit,null,8,0.929500
randomdigit,null,9,0.929458
randomdigit,null,10,0.929500
randomdigit,null,11,0.929541
randomdigit,null,12,0.929750
randomdigit,null,13,0.929416
randomdigit,null,14,0.929500
randomdigit,null,15,0.929375
randomdigit,null,16,0.929375
randomdigit,null,17,0.929417
randomdigit,ostringstream,1,781.042958
randomdigit,ostringstream,2,796.251875
randomdigit,ostringstream,3,826.672083
randomdigit,ostringstream,4,829.093167
randomdigit,ostringstream,5,835.858250
randomdigit,ostringstream,6,846.205166
randomdigit,ostringstream,7,855.738000
randomdigit,ostringstream,8,863.498958
randomdigit,ostringstream,9,867.821666
randomdigit,ostringstream,10,872.706416
randomdigit,ostringstream,11,880.604375
randomdigit,ostringstream,12,891.993167
randomdigit,ostringstream,13,907.649333
randomdigit,ostringstream,14,916.442583
randomdigit,ostringstream,15,919.349542
randomdigit,ostringstream,16,931.520000
randomdigit,ostringstream,17,921.817083
randomdigit,ryu,1,45.839666
randomdigit,ryu,2,45.956083
randomdigit,ryu,3,45.110875
randomdigit,ryu,4,44.209125
randomdigit,ryu,5,42.519166
randomdigit,ryu,6,41.732042
randomdigit,ryu,7,38.152333
randomdigit,ryu,8,37.076959
randomdigit,ryu,9,35.562167
randomdigit,ryu,10,36.381250
randomdigit,ryu,11,33.425875
randomdigit,ryu,12,32.272542
randomdigit,ryu,13,30.828417
randomdigit,ryu,14,29.772666
randomdigit,ryu,15,28.753916
randomdigit,ryu,16,27.900834
randomdigit,ryu,17,27.805958
randomdigit,schubfach,1,20.731625
randomdigit,schubfach,2,24.419125
randomdigit,schubfach,3,24.024333
randomdigit,schubfach,4,23.657916
randomdigit,schubfach,5,23.521166
randomdigit,schubfach,6,23.326375
randomdigit,schubfach,7,23.179917
randomdigit,schubfach,8,22.913167
randomdigit,schubfach,9,22.736458
randomdigit,schubfach,10,24.577750
randomdigit,schubfach,11,26.403625
randomdigit,schubfach,12,26.371041
randomdigit,schubfach,13,26.037459
randomdigit,schubfach,14,25.914792
randomdigit,schubfach,15,25.687542
randomdigit,schubfach,16,27.374875
randomdigit,schubfach,17,33.502083
randomdigit,sprintf,1,641.329458
randomdigit,sprintf,2,660.286125
randomdigit,sprintf,3,674.895000
randomdigit,sprintf,4,685.494334
randomdigit,sprintf,5,696.491167
randomdigit,sprintf,6,708.874375
randomdigit,sprintf,7,716.114250
randomdigit,sprintf,8,726.375458
randomdigit,sprintf,9,732.755125
randomdigit,sprintf,10,743.439542
randomdigit,sprintf,11,746.541125
randomdigit,sprintf,12,759.271291
randomdigit,sprintf,13,770.235167
randomdigit,sprintf,14,780.285792
randomdigit,sprintf,15,785.229250
randomdigit,sprintf,16,786.542917
randomdigit,sprintf,17,776.555250
randomdigit,to_chars,1,51.428500
randomdigit,to_chars,2,52.383750
randomdigit,to_chars,3,49.506167
randomdigit,to_chars,4,47.978208
randomdigit,to_chars,5,46.742500
randomdigit,to_chars,6,44.847292
randomdigit,to_chars,7,43.564625
randomdigit,to_chars,8,41.970667
randomdigit,to_chars,9,40.990750
randomdigit,to_chars,10,41.890459
randomdigit,to_chars,11,38.555875
randomdigit,to_chars,12,36.977417
randomdigit,to_chars,13,36.197292
randomdigit,to_chars,14,35.092458
randomdigit,to_chars,15,34.069084
randomdigit,to_chars,16,32.786042
randomdigit,to_chars,17,33.478959
randomdigit,uscale,1,25.072417
randomdigit,uscale,2,26.421250
randomdigit,uscale,3,27.092291
randomdigit,uscale,4,27.195834
randomdigit,uscale,5,27.438000
randomdigit,uscale,6,27.623125
randomdigit,uscale,7,28.269625
randomdigit,uscale,8,28.293750
randomdigit,uscale,9,28.757834
randomdigit,uscale,10,32.756625
randomdigit,uscale,11,29.751417
randomdigit,uscale,12,29.470458
randomdigit,uscale,13,29.945250
randomdigit,uscale,14,29.798000
randomdigit,uscale,15,31.469292
randomdigit,uscale,16,25.330000
randomdigit,uscale,17,28.349584
randomdigit,xjb64,1,6.966250
randomdigit,xjb64,2,6.931833
randomdigit,xjb64,3,6.931333
randomdigit,xjb64,4,6.925791
randomdigit,xjb64,5,6.953833
randomdigit,xjb64,6,6.931708
randomdigit,xjb64,7,6.928291
randomdigit,xjb64,8,6.929291
randomdigit,xjb64,9,6.929250
randomdigit,xjb64,10,6.913834
randomdigit,xjb64,11,6.912625
randomdigit,xjb64,12,6.918833
randomdigit,xjb64,13,6.928250
randomdigit,xjb64,14,6.996666
randomdigit,xjb64,15,6.929500
randomdigit,xjb64,16,6.914917
randomdigit,xjb64,17,6.932750
randomdigit,yy,1,11.635458
randomdigit,yy,2,11.606458
randomdigit,yy,3,11.613000
randomdigit,yy,4,11.581042
randomdigit,yy,5,14.181208
randomdigit,yy,6,13.583042
randomdigit,yy,7,12.429125
randomdigit,yy,8,12.332208
randomdigit,yy,9,14.506041
randomdigit,yy,10,13.934917
randomdigit,yy,11,12.999750
randomdigit,yy,12,12.917708
randomdigit,yy,13,15.296917
randomdigit,yy,14,15.404167
randomdigit,yy,15,14.474791
randomdigit,yy,16,14.405042
randomdigit,yy,17,14.409542
randomdigit,zmij,1,6.808583
randomdigit,zmij,2,6.790583
randomdigit,zmij,3,6.788208
randomdigit,zmij,4,6.780125
randomdigit,zmij,5,6.792041
randomdigit,zmij,6,6.766209
randomdigit,zmij,7,6.781750
randomdigit,zmij,8,6.787917
randomdigit,zmij,9,6.783834
randomdigit,zmij,10,6.790292
randomdigit,zmij,11,6.786083
randomdigit,zmij,12,6.804625
randomdigit,zmij,13,6.793167
randomdigit,zmij,14,6.785667
randomdigit,zmij,15,6.777834
randomdigit,zmij,16,6.800000
randomdigit,zmij,17,6.790500
