Type,Function,Digit,Time(ns)
randomdigit,double-conversion,1,59.187673
randomdigit,double-conversion,2,65.799446
randomdigit,double-conversion,3,70.183069
randomdigit,double-conversion,4,73.203205
randomdigit,double-conversion,5,76.362356
randomdigit,double-conversion,6,78.907028
randomdigit,double-conversion,7,81.259393
randomdigit,double-conversion,8,82.380998
randomdigit,double-conversion,9,83.711337
randomdigit,double-conversion,10,85.191221
randomdigit,double-conversion,11,86.810450
randomdigit,double-conversion,12,88.801639
randomdigit,double-conversion,13,90.750527
randomdigit,double-conversion,14,92.486453
randomdigit,double-conversion,15,95.459461
randomdigit,double-conversion,16,99.014420
randomdigit,double-conversion,17,104.578346
randomdigit,dragonbox,1,21.613435
randomdigit,dragonbox,2,22.754690
randomdigit,dragonbox,3,22.802118
randomdigit,dragonbox,4,23.624853
randomdigit,dragonbox,5,23.272313
randomdigit,dragonbox,6,24.138446
randomdigit,dragonbox,7,23.874565
randomdigit,dragonbox,8,24.402519
randomdigit,dragonbox,9,24.673909
randomdigit,dragonbox,10,25.111866
randomdigit,dragonbox,11,25.085407
randomdigit,dragonbox,12,25.971970
randomdigit,dragonbox,13,25.653610
randomdigit,dragonbox,14,26.179053
randomdigit,dragonbox,15,26.130664
randomdigit,dragonbox,16,26.951639
randomdigit,dragonbox,17,30.894536
randomdigit,fmt,1,28.023196
randomdigit,fmt,2,29.577247
randomdigit,fmt,3,29.927306
randomdigit,fmt,4,29.420682
randomdigit,fmt,5,30.019863
randomdigit,fmt,6,29.575087
randomdigit,fmt,7,30.343493
randomdigit,fmt,8,29.900687
randomdigit,fmt,9,32.580973
randomdigit,fmt,10,32.105217
randomdigit,fmt,11,33.024259
randomdigit,fmt,12,32.159026
randomdigit,fmt,13,33.307141
randomdigit,fmt,14,32.447697
randomdigit,fmt,15,33.501304
randomdigit,fmt,16,33.038349
randomdigit,fmt,17,37.652055
randomdigit,null,1,1.170533
randomdigit,null,2,1.170243
randomdigit,null,3,1.170164
randomdigit,null,4,1.169793
randomdigit,null,5,1.170203
randomdigit,null,6,1.169873
randomdigit,null,7,1.169793
randomdigit,null,8,1.170234
randomdigit,null,9,1.169803
randomdigit,null,10,1.170234
randomdigit,null,11,1.169783
randomdigit,null,12,1.169784
randomdigit,null,13,1.169784
randomdigit,null,14,1.169993
randomdigit,null,15,1.170294
randomdigit,null,16,1.171044
randomdigit,null,17,1.174814
randomdigit,ostringstream,1,741.992637
randomdigit,ostringstream,2,743.458441
randomdigit,ostringstream,3,749.466061
randomdigit,ostringstream,4,753.340519
randomdigit,ostringstream,5,758.412460
randomdigit,ostringstream,6,763.980665
randomdigit,ostringstream,7,766.887694
randomdigit,ostringstream,8,770.605076
randomdigit,ostringstream,9,783.198653
randomdigit,ostringstream,10,798.589330
randomdigit,ostringstream,11,806.474442
randomdigit,ostringstream,12,809.649613
randomdigit,ostringstream,13,812.829751
randomdigit,ostringstream,14,813.544148
randomdigit,ostringstream,15,814.346822
randomdigit,ostringstream,16,812.282126
randomdigit,ostringstream,17,808.346757
randomdigit,ryu,1,49.009019
randomdigit,ryu,2,50.353127
randomdigit,ryu,3,49.455945
randomdigit,ryu,4,48.276532
randomdigit,ryu,5,48.021079
randomdigit,ryu,6,47.226464
randomdigit,ryu,7,46.226305
randomdigit,ryu,8,45.162029
randomdigit,ryu,9,43.983266
randomdigit,ryu,10,44.925517
randomdigit,ryu,11,42.308098
randomdigit,ryu,12,42.494032
randomdigit,ryu,13,40.073638
randomdigit,ryu,14,39.297402
randomdigit,ryu,15,38.184587
randomdigit,ryu,16,37.332584
randomdigit,ryu,17,36.842769
randomdigit,schubfach,1,31.331821
randomdigit,schubfach,2,31.985721
randomdigit,schubfach,3,31.563053
randomdigit,schubfach,4,31.136877
randomdigit,schubfach,5,30.942413
randomdigit,schubfach,6,30.808548
randomdigit,schubfach,7,30.601464
randomdigit,schubfach,8,29.661633
randomdigit,schubfach,9,28.934476
randomdigit,schubfach,10,38.000222
randomdigit,schubfach,11,39.137027
randomdigit,schubfach,12,38.967013
randomdigit,schubfach,13,38.491727
randomdigit,schubfach,14,38.257825
randomdigit,schubfach,15,37.824009
randomdigit,schubfach,16,38.789529
randomdigit,schubfach,17,42.084355
randomdigit,sprintf,1,486.417013
randomdigit,sprintf,2,494.325905
randomdigit,sprintf,3,500.156732
randomdigit,sprintf,4,503.808688
randomdigit,sprintf,5,508.669285
randomdigit,sprintf,6,514.228131
randomdigit,sprintf,7,517.171219
randomdigit,sprintf,8,520.193364
randomdigit,sprintf,9,524.974785
randomdigit,sprintf,10,529.212572
randomdigit,sprintf,11,532.366803
randomdigit,sprintf,12,534.910054
randomdigit,sprintf,13,538.952706
randomdigit,sprintf,14,539.955025
randomdigit,sprintf,15,540.405990
randomdigit,sprintf,16,538.258087
randomdigit,sprintf,17,533.998549
randomdigit,to_chars,1,57.814783
randomdigit,to_chars,2,58.598319
randomdigit,to_chars,3,57.952629
randomdigit,to_chars,4,56.989559
randomdigit,to_chars,5,56.147144
randomdigit,to_chars,6,55.217793
randomdigit,to_chars,7,54.322812
randomdigit,to_chars,8,53.474009
randomdigit,to_chars,9,51.869418
randomdigit,to_chars,10,52.752541
randomdigit,to_chars,11,50.532331
randomdigit,to_chars,12,49.514793
randomdigit,to_chars,13,48.622830
randomdigit,to_chars,14,47.303561
randomdigit,to_chars,15,46.016992
randomdigit,to_chars,16,44.763271
randomdigit,to_chars,17,46.282344
randomdigit,uscale,1,27.483451
randomdigit,uscale,2,27.932117
randomdigit,uscale,3,28.060553
randomdigit,uscale,4,28.227448
randomdigit,uscale,5,28.270196
randomdigit,uscale,6,28.148731
randomdigit,uscale,7,28.342104
randomdigit,uscale,8,29.330293
randomdigit,uscale,9,29.297474
randomdigit,uscale,10,29.513987
randomdigit,uscale,11,29.482028
randomdigit,uscale,12,29.659013
randomdigit,uscale,13,30.062550
randomdigit,uscale,14,29.570296
randomdigit,uscale,15,30.097409
randomdigit,uscale,16,28.890718
randomdigit,uscale,17,31.426057
randomdigit,xjb64,1,19.254038
randomdigit,xjb64,2,19.302337
randomdigit,xjb64,3,19.341225
randomdigit,xjb64,4,19.475062
randomdigit,xjb64,5,19.451132
randomdigit,xjb64,6,19.474371
randomdigit,xjb64,7,19.433482
randomdigit,xjb64,8,19.448392
randomdigit,xjb64,9,19.458561
randomdigit,xjb64,10,19.485941
randomdigit,xjb64,11,19.492611
randomdigit,xjb64,12,19.439362
randomdigit,xjb64,13,19.438922
randomdigit,xjb64,14,19.580408
randomdigit,xjb64,15,19.445613
